"","x"
"1","AACS"
"2","AARS1"
"3","ABAT"
"4","ABCA5"
"5","ABCC8"
"6","ABCG1"
"7","ABHD10"
"8","ABHD3"
"9","ABR"
"10","ABR"
"11","ABR"
"12","ABRACL"
"13","ACAT1"
"14","ACLY"
"15","ACVR1"
"16","ACVR1B"
"17","ACVR1C"
"18","ADCYAP1"
"19","ADH5"
"20","ADM"
"21","ADRA2A"
"22","AFF1"
"23","AFF4"
"24","AGTPBP1"
"25","AHCTF1"
"26","AKAP11"
"27","AKT3"
"28","AKT3"
"29","AKTIP"
"30","ALCAM"
"31","ALDOC"
"32","ALG2"
"33","ALKBH5"
"34","AMPD2"
"35","ANKH"
"36","ANKMY2"
"37","ANKRD12"
"38","ANKRD65"
"39","ANO5"
"40","ANP32B"
"41","ANP32E"
"42","AP1AR"
"43","AP3B1"
"44","APC"
"45","APCDD1L-DT"
"46","APPL1"
"47","APPL2"
"48","ARFGEF2"
"49","ARG2"
"50","ARHGAP35"
"51","ARHGAP5"
"52","ARHGEF3"
"53","ARHGEF9"
"54","ARL4D"
"55","ARL6IP5"
"56","ARL8B"
"57","ARMCX3"
"58","ARPP19"
"59","ASAP1"
"60","ASH1L"
"61","ATF6"
"62","ATG3"
"63","ATP1B2"
"64","ATP2A3"
"65","ATP6V0A1"
"66","ATP6V0E2"
"67","ATP6V1A"
"68","ATP6V1B2"
"69","ATP6V1C1"
"70","ATP6V1D"
"71","ATP6V1E1"
"72","ATP6V1G1"
"73","ATP8A1"
"74","ATRNL1"
"75","ATRX"
"76","ATXN2"
"77","AZI2"
"78","BAG3"
"79","BBS2"
"80","BBX"
"81","BCL2L2"
"82","BCL9"
"83","BEX1"
"84","BEX2"
"85","BEX4"
"86","BHLHE41"
"87","BLOC1S2"
"88","BMP5"
"89","BNIP3"
"90","BNIP3L"
"91","BRD7"
"92","BRI3"
"93","BTBD1"
"94","BTBD3"
"95","BTF3L4"
"96","BTG3"
"97","BTG3"
"98","C11orf1"
"99","C11orf1"
"100","C12orf76"
"101","C14orf132"
"102","C15orf61"
"103","C16orf72"
"104","C1D"
"105","C1orf43"
"106","C21orf91"
"107","C2CD5"
"108","C2orf69"
"109","C4orf3"
"110","CABP7"
"111","CACNA1D"
"112","CACNA1H"
"113","CACNA2D1"
"114","CACYBP"
"115","CADM1"
"116","CADPS"
"117","CAMK2N1"
"118","CAMLG"
"119","CANX"
"120","CANX"
"121","CAPN13"
"122","CAPN7"
"123","CASC3"
"124","CASR"
"125","CBX4"
"126","CBX7"
"127","CCNI"
"128","CCSER2"
"129","CCT4"
"130","CD200"
"131","CDC37L1"
"132","CDC42BPA"
"133","CDC42EP3"
"134","CDC5L"
"135","CDCP1"
"136","CDIP1"
"137","CDIP1"
"138","CDK5R1"
"139","CDK6"
"140","CDKN1A"
"141","CDKN1C"
"142","CDKN1C"
"143","CDV3"
"144","CEBPG"
"145","CELF4"
"146","CENPC"
"147","CERK"
"148","CFAP36"
"149","CFL2"
"150","CHD7"
"151","CHD9"
"152","CHL1"
"153","CHN1"
"154","CIRBP"
"155","CISD2"
"156","CLASP2"
"157","CLCN3"
"158","CLCN4"
"159","CLGN"
"160","CLIP1"
"161","CLIP4"
"162","CLTA"
"163","CLTC"
"164","CMTM8"
"165","CNBP"
"166","CNP"
"167","CNRIP1"
"168","COBLL1"
"169","COMMD9"
"170","COPRS"
"171","COPS2"
"172","COPS7A"
"173","COX7A2L"
"174","CPD"
"175","CPEB4"
"176","CRACD"
"177","CREB3L2"
"178","CREBL2"
"179","CREBRF"
"180","CRMP1"
"181","CSDE1"
"182","CYFIP2"
"183","CYP2U1"
"184","CYYR1"
"185","DARS1"
"186","DBI"
"187","DDIT3"
"188","DDR1"
"189","DDR1"
"190","DDR1"
"191","DDR1"
"192","DDR1"
"193","DDR1"
"194","DDR1"
"195","DDX24"
"196","DDX24"
"197","DDX3Y"
"198","DENND5B"
"199","DGKD"
"200","DGKD"
"201","DGKE"
"202","DHRS2"
"203","DHRS7"
"204","DICER1"
"205","DIP2C"
"206","DLGAP4"
"207","DLK1"
"208","DMXL2"
"209","DNAH5"
"210","DNAJB1"
"211","DNAJB9"
"212","DNAJC12"
"213","DNAJC3"
"214","DNAJC6"
"215","DOCK10"
"216","DPP6"
"217","DPYSL2"
"218","DSP"
"219","DST"
"220","DSTYK"
"221","DTX3"
"222","DYNC1H1"
"223","DYNLT3"
"224","ECPAS"
"225","EDARADD"
"226","EDN3"
"227","EEF2"
"228","EFNA5"
"229","EFR3A"
"230","EIF1B"
"231","EIF3E"
"232","EIF3H"
"233","EIF4A2"
"234","EIF4B"
"235","EIF4G3"
"236","ELAVL4"
"237","ELMO1"
"238","ELMO2"
"239","ELP4"
"240","EML6"
"241","ENDOD1"
"242","ENO1"
"243","ENO2"
"244","ENPP5"
"245","ENTPD3"
"246","EPB41L1"
"247","EPB41L3"
"248","EPB41L4A-AS1"
"249","EPM2AIP1"
"250","EPRS1"
"251","ERICH5"
"252","ERO1B"
"253","ERRFI1"
"254","ESD"
"255","ETNK1"
"256","EXOC2"
"257","EXOC5"
"258","EXPH5"
"259","FAM107A"
"260","FAM135A"
"261","FAM174B"
"262","FAM200B"
"263","FAM219A"
"264","FAM222A"
"265","FAM8A1"
"266","FASN"
"267","FBXL16"
"268","FBXL17"
"269","FBXO17"
"270","FBXO17"
"271","FBXO33"
"272","FBXO7"
"273","FFAR4"
"274","FGF9"
"275","FKBP4"
"276","FKBP5"
"277","FLOT1"
"278","FLOT1"
"279","FLOT1"
"280","FLOT1"
"281","FLOT1"
"282","FLOT1"
"283","FLOT1"
"284","FLOT1"
"285","FMN2"
"286","FNIP1"
"287","FNIP2"
"288","FOXA2"
"289","FOXJ3"
"290","FOXN3"
"291","FOXO1"
"292","FRA10AC1"
"293","FTH1"
"294","FTH1P3"
"295","FTL"
"296","FXR1"
"297","FYN"
"298","FYTTD1"
"299","G3BP1"
"300","G3BP2"
"301","G6PC2"
"302","G6PC2"
"303","GABARAP"
"304","GABARAPL2"
"305","GAD2"
"306","GAS5"
"307","GCC2"
"308","GDA"
"309","GDAP1"
"310","GEM"
"311","GFPT1"
"312","GHITM"
"313","GIGYF2"
"314","GLCCI1"
"315","GLIS2"
"316","GLIS2"
"317","GLIS3"
"318","GLT8D2"
"319","GNA13"
"320","GNAO1"
"321","GNAS"
"322","GNG4"
"323","GNG4"
"324","GNG7"
"325","GNPDA1"
"326","GOLGA4"
"327","GOLGA8A"
"328","GOLGB1"
"329","GPM6A"
"330","GPR158"
"331","GPRASP1"
"332","GPSM1"
"333","GREM1"
"334","GREM1"
"335","GREM1"
"336","GREM2"
"337","GRIA4"
"338","GRPEL2"
"339","GSE1"
"340","GSN"
"341","GTF3C1"
"342","GYG1"
"343","HABP4"
"344","HACD3"
"345","HADH"
"346","HAX1"
"347","HCFC2"
"348","HDAC9"
"349","HECTD1"
"350","HECTD4"
"351","HERPUD1"
"352","HIVEP2"
"353","HLF"
"354","HLTF"
"355","HMGCLL1"
"356","HNRNPC"
"357","HOOK1"
"358","HOPX"
"359","HPS4"
"360","HS6ST1"
"361","HSP90AA1"
"362","HSP90AB1"
"363","HSPA13"
"364","HSPA1A"
"365","HSPA1A"
"366","HSPA1A"
"367","HSPA1A"
"368","HSPA1A"
"369","HSPA1B"
"370","HSPA1B"
"371","HSPA1B"
"372","HSPA1B"
"373","HSPA1B"
"374","HSPA4L"
"375","HSPA8"
"376","HSPA9"
"377","HSPD1"
