"","x"
"1","APLP1"
"2","AZGP1"
"3","CA9"
"4","CDKN1C"
"5","CHIA"
"6","CST3"
"7","CXCL17"
"8","DCXR"
"9","EEF2"
"10","ELAPOR1"
"11","ELL2"
"12","ENAH"
"13","FMOD"
"14","FNDC3B"
"15","FTH1"
"16","FTL"
"17","GLUL"
"18","GPER1"
"19","GPRC5C"
"20","HMGCS2"
"21","IER2"
"22","IGFBP2"
"23","IL33"
"24","IRX2"
"25","ITIH5"
"26","ITLN1"
"27","JUN"
"28","LEPR"
"29","LINC00261"
"30","LIPF"
"31","MECOM"
"32","METTL7A"
"33","MT1F"
"34","MT1G"
"35","MT1X"
"36","MT2A"
"37","NEDD4L"
"38","NR2F2"
"39","P4HB"
"40","PABPC4"
"41","PDIA2"
"42","PGA5"
"43","PGC"
"44","PLIN5"
"45","PRDX4"
"46","RPLP1"
"47","SEC62"
"48","SLC12A2"
"49","SOX4"
"50","SSR4"
"51","TMED6"
"52","TMEM97"
"53","TSC22D1"
"54","UGT2B15"
"55","XBP1"
"56","XYLT2"
"57","ABCC3"
"58","ABCC5"
"59","ABHD2"
"60","ABLIM1"
"61","ACTB"
"62","ACTG1"
"63","ACTN4"
"64","AGR2"
"65","AHNAK"
"66","AKR1B10"
"67","AKR1C1"
"68","AKR1C2"
"69","AKR1C3"
"70","ALDH2"
"71","ALDH3A1"
"72","ALDH3A2"
"73","ANG"
"74","ANXA10"
"75","ARPC1A"
"76","BCAS1"
"77","BLVRB"
"78","CA2"
"79","CALM2"
"80","CAPG"
"81","CAPN5"
"82","CAPN8"
"83","CAPN9"
"84","CAST"
"85","CBR1"
"86","CCND1"
"87","CD2AP"
"88","CD63"
"89","CEACAM5"
"90","CES2"
"91","CFL1"
"92","CLDN18"
"93","CLIC1"
"94","CLTB"
"95","CMBL"
"96","COX8A"
"97","CRIP1"
"98","CSTB"
"99","CTNNA1"
"100","CTSE"
"101","CYP2C18"
"102","CYP2S1"
"103","CYP3A5"
"104","CYSTM1"
"105","DDX60"
"106","DSC2"
"107","DYNLL1"
"108","EFHD2"
"109","EFNB2"
"110","ETNK1"
"111","FA2H"
"112","FAM120A"
"113","FBLIM1"
"114","FCGBP"
"115","FHL2"
"116","FLNB"
"117","FOXA2"
"118","FOXQ1"
"119","FSIP2"
"120","FXYD3"
"121","GALE"
"122","GALNT6"
"123","GKN1"
"124","GKN2"
"125","GPX2"
"126","GSN"
"127","GSTP1"
"128","HPGD"
"129","HSPB1"
"130","ID1"
"131","IFI27"
"132","IL1R2"
"133","IL1RN"
"134","ITGB4"
"135","JPT1"
"136","JUP"
"137","KDELR2"
"138","KLF3"
"139","KLF4"
"140","KRT18"
"141","KRT19"
"142","KRT8"
"143","LGALS3"
"144","LGALS4"
"145","LGALS9C"
"146","LINC01133"
"147","LMNA"
"148","LMO7"
"149","MAL2"
"150","MANF"
"151","MAPK3"
"152","MGLL"
"153","MGST3"
"154","MUC1"
"155","MUCL3"
"156","NET1"
"157","NQO1"
"158","PERP"
"159","PFN1"
"160","PHGR1"
"161","PLA2G10"
"162","PLAC8"
"163","PLXNB2"
"164","PRDX1"
"165","PSCA"
"166","PTGR1"
"167","RAB27A"
"168","RAB27B"
"169","RAC1"
"170","RALA"
"171","RASSF6"
"172","RBM47"
"173","REG4"
"174","REP15"
"175","RHOA"
"176","RNASE1"
"177","S100A11"
"178","S100A14"
"179","S100A16"
"180","S100A6"
"181","S100P"
"182","SFN"
"183","SH3BGRL2"
"184","SH3BGRL3"
"185","SLC44A1"
"186","SLC44A2"
"187","SLC5A5"
"188","SLC7A8"
"189","SLC9A1"
"190","SMPD3"
"191","SOSTDC1"
"192","SPINK1"
"193","SPINT2"
"194","SPTSSB"
"195","SULT1C2"
"196","SYTL2"
"197","TACSTD2"
"198","TAGLN2"
"199","TCEAL9"
"200","TCF7L2"
"201","TENT5A"
"202","TESC"
"203","TFF1"
"204","TFF2"
"205","TMEM54"
"206","TMSB4X"
"207","TPM1"
"208","TPM4"
"209","TRNP1"
"210","TSPAN1"
"211","TSPAN3"
"212","TSPAN8"
"213","TST"
"214","TXN"
"215","UGDH"
"216","VAMP8"
"217","VILL"
"218","VSIG1"
"219","VSIG2"
"220","YWHAZ"
"221","ZBTB7C"
"222","ACIN1"
"223","ACTR2"
"224","ADAM15"
"225","ADD3"
"226","ADH1C"
"227","AGR3"
"228","AKAP1"
"229","ANO1"
"230","ANXA2"
"231","AP1M2"
"232","AP2B1"
"233","ARF1"
"234","ARF5"
"235","ARHGAP21"
"236","ARHGDIA"
"237","ARL6IP1"
"238","ARPC2"
"239","ASAP2"
"240","ASPM"
"241","ATP1A1"
"242","ATP2A3"
"243","ATP5IF1"
"244","ATP5ME"
"245","ATP8B1"
"246","AUP1"
"247","B4GALT1"
"248","BACE2"
"249","BAZ1A"
"250","BCAP31"
"251","BHLHE40"
"252","CALM3"
"253","CALR"
"254","CANX"
"255","CAP1"
"256","CAPNS1"
"257","CAPZB"
"258","CCDC25"
"259","CCNB1"
"260","CCT5"
"261","CD151"
"262","CDC37"
"263","CDC42EP5"
"264","CDH1"
"265","CDS1"
"266","CENPE"
"267","CENPF"
"268","CENPV"
"269","CHCHD2"
"270","CKAP4"
"271","CKS2"
"272","CLMN"
"273","CORO2A"
"274","COX6B1"
"275","CREB3L1"
"276","CRELD2"
"277","CTTN"
"278","CYC1"
"279","CYP1B1"
"280","CYP4F12"
"281","CYP51A1"
"282","DBI"
"283","DDX18"
